source,target
"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","that war done well, because, behold, on the other hand, he was a frank and mighty knight in arms, of great measure, but was not full of great understanding."
"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","cruel, and of all the wrongs sold, as the law says, and to no knight pardon that errs."
"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Not of any strength of mind was ornamented Aufidian ponce, Roman knight."
"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","If this pleases everyone and if 'time needs to have pumpkin for knight and not for companion, I will no longer feel the fates."
"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","of this art it seems that it is to say purposely to make people believe, the end is to make people believe in saying it."
Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Behold, there are great windstorms, and the fogs, and thou mayest believe that all the heavens fell into the sea."
"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","But now those who would hope for what these who do not yet want to believe in Christ, already live with us, and because they can not deny, shatter necks teeth."
I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"the vengeance of the dead, and the assurance of the living made the deceit of a fierce king."
"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","so that he, who is now fierce and honorable for his great deeds, is afflicted and tormented by all the evils of his use to my father."
Gli uomini spessamente a stare fermi nella bugia incontra la verità.,men often to stand still in the lie meets the truth.
"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio who was of the ten companions, studiedly reserved himself to speak at the last."
cose ch'io sapeva che erano fatte in Italia.,things that I knew were made in Italy.
Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Corbius niece of hydrangeus brought his life lower and more vicious
"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","another lover calling Merzé to his woman says many words and reasons, and she defends herself in her saying."
"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","I remember (ch. 347) that being angry I walked over my woman. oh, how many of this anger took me away!"
colui del quale tu tti solevi dolere ch' era amante della tua donna;,He of whom thou wast sore that he was lover of thy woman;
"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","But they do not know the names of those of the conspiracy, for the woman did not mention the names."
"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Of course, when he moved, he said to you, ""O my faithful woman, let our Trojan host be in my place."""
"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","in Milan was repressed the wickedness of a woman in such a lie, at the same time as this lord of the republic, in this way:"
"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","and lamented the iniquity of the beginning, and lamented the ill-adventured beauty of the chick, and the need of the father."
"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","in which battle, of course, I always dared to reason for peace and always doweled me that not only peace was disgusted,"
"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","the second soles sometimes for the great provenzia to be fearful, and the first for daring to make others mad."
Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"And he went into the camp of the Carthaginians, and all the legion drew with it."
"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","He did not want to cognize him as an enemy. This is the one, who gave the prophecy born to resume with great authority that king, who had sinned."
"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","And the weapons, and with them they passed among the enemy, for if any man had not dared of this, and they had such a spirit."
Unde ragionevolemente Iob è interpretato dolente;,Unde reasonablely Iob is interpreted painfully;
"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","that which above all others forgave the citizens, and which you can most surely believe; then that he was your ruler."
"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","in vain one wonders who this book wrote, which is what one must faithfully believe that the author of that was the holy spirit."
"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","If it were not used very much, this certainly seems much more incredible: certainly more easily you can believe that, place than the human spirit to the divine, and the changeable to the incommutable"
che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,who took the pay from the Camarlingo for their dispensation and immanent went to the presence of Messer the pope to contradict the passage of the knights who come from Cecilia to Tuscany
"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","And he looked upon Achelaus with great wonder, and said, O messer Achelaus, I beseech thee that ye say unto me how ye lose."
"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","I hope that I will send to you a strong fear, that I may be of a good mind."
sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Without fouling the saving pig advances the man to hear and 'the cervier wolf of seeing
uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,And a place shall be sent to throw themselves; and the horsemen shall call it a pig's head.
tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"He tends the harlots to the deer, and knows what valley the furious pig dwells in."
"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Now you're gonna scare them off with various and different fears, or the pig singing shit in the past spitneck earth."
"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","It deals with the nature of the things incorporated which do not converse within the body, as god and divine things."
"Dio, per la quale si dispensano et iudicano tutte le cose.","God, for whom they dispense and judge all things."
"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Undegli poei, speaking of theirs, say the virtuous unto them, and speak fabulously of their defenses, when no man passed the commandment unto their congressman."
"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","And that thing, which is direct and honest, and virtuously, that one I think is good."
"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","And when the serpents were enticed by the day of a Roman, then the marvel at how they fought against the venom, that they would rob them of their salivas."
"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Says the poem: oh, what a beautiful thing it is to see openly with your eyes when you make her say it either in the ass or in other"
"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","But it was your fault, but you wanted to see the invisible thing with your bodily eyes."
"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","It is true, but I do not answer in this time, therefore that he is my servant, or therefore that he is wounded, or therefore that I should not answer thee."
sì convene che lli desse grande avere perché · lasciasse andare via.,"so that he should give them great to have to ""let go."""
"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","The servant, who had accused him, was freed, and he was given a great deal of money, a notable example to every man who looked at himself to do and to think betrayal."
che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,that it would be to him a filthy thing if he had committed it so that the fault of the servant and 'platon gastigament had also deserved.
"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Most surely he showed his strength, giving him king to this citadel in which he was born a servant; to which the empire was held very long."
l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,the soul changes its strength by the propiad of that body to which she joins.
"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","They are already two, not in one flesh, but in one spirit, that is, God, and the soul; and in another place says St. Paul: He who approaches God is a spirit."
"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","so that they may shine forth the saying, we shall recount it to you. There, when the soul of Pompey heard the clarity of the utterance, it was so great first."
"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","so that pain is to hear, when the use of arms and labor recuse, with great dishonor as sheep to be"
et nonn ebbe in fastido Cristo cotali parole d'udire.,and did not have in annoying Christ such words to hear.
"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","the multitude of which you could see and look at the study and little before hearing the voices, and whose hands and spears I can hardly hold."
"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","hearing of good tidings and smelling of beautiful flowers, how and when and how much it is fitting"
"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","The king went into a garden to his hotel, almost as if he were thinking of the answer."
"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","But I'm dismaying where I can't go with my body, with my mind I'll fly with you"
Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"And, behold, immediately all this multitude of birds arose, and I gave the eagle a flight."
Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,He also sees the reasons for the flight of the little ones and of all things he knows how to make true judgment.
Or ecco quanto per la sua superbia questo uccello volava in alto.,Now this bird flew high for its pride.
"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgon, and I have this property that I fly to air as a bird."""
"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","When they are written in the freshman, they swear by god, and by Christ, and by holy spirit."
"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","I laugh, according to your commandment, Holy Father Augustine, the battles that have already been in the world [..]"
"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","much more remembrance will be given to the king, so that in our citadel the royal name was always holy and glorious, and that they were companions was their most holy name;"
"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","I will not, that he exalteth for the holy purpose, and vow of virginity, seeing his praises."
"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","St. Augustine made a book called ""the agony of the city of god."""
Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregory. I never heard that he had a teacher; but the gift of the holy spirit cannot be tightened by law.
Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Verbigrazia: Florentine merchants went by ship to go overwhelm.
"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","When you have in the knight the signs seen not go to greatness, because in the battles are more useful the strong than the great ones."
"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","and, which also is more serious, that is, to be taken, or true to flee, and its common let win."
"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","You really know that if we hadn't rushed off, we'd all be dead."
"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Tarco creenses that helped were enemy allies could have fled, but the shame of abandoning the noble knights of the Achaean people just ahead of him"
"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","and the hairstyle to do great things, that is to get peace and love idiom and 'the proximo, to deal citadins, castle and mansions"
colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio.,He who does not yet know how to love his neighbor as himself already begins to fear the judges of God.
"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","The bird, after which its wings are troubled, does not escape safely, nor does the saved pig come out well of the deities where it falls."
"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","I opened it, and those fled. And what need is it, that your heart should be closed to your bridegroom Christ?"
"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","And therefore, since these things are so, little castle, and thou canst not goodly dwell here, doubt thou to go into any land, and to use this life, fleeing to the deserts."
"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","These two, wishing against the will of the senate to dwell in the office of the tribune, were dead by the plebs, inciting the conscripted fathers."
"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","the young men, to whom the defense of the provinces, and the fortune of all the battle, are made."
"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","From the mountains of the Romans new enemies were made; against which is conbattuto cum different venture: perké in the first battle, being console valerio, mmmd they died of the Romans;"
"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","We shall go out and depart for the debt of the citadel, and all shall be cast out of fame and good fortune."
pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,You prayed to the gods for me; it is your prayers; and if you ask who had come of this battle; I was not overcome by him.
"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","a villa called Vitermine, which was what the feathery princes of scoffers ran by venture at that time to see it, scipione, esteeming that they came to strengthen it, lodged in the house"
contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,against him and against his sisters and against the realm and against the high value of his generation and his family
"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Then that the ship was filled, and put into the high sea, to go straight by the sea, this perilous pass, and the anger became cloudy and rainy."
"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","He went up the embankment of the ditch, and up the fence, if they could defend themselves from above, or by any way pass over and escape."
"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","but the eye of intelligence is higher. Therefore, after the greatness of the university, that very simple form sees in the subtle sight"
