source_sentences;gold_sentences;predicted_sentences ;prometheus_score;GPT_score;user_score
Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.;E se l’occhio è una parte nobile del corpo umano, allora il saluto è una parte nobile della lettera, che illumina l’intero testo come l’occhio illumina l’uomo.;E se l'occhio è un nobile membro del corpo dell'uomo, allora il saluto è una parte nobile della pistola, c'è anche alluminio tutta la lettera come l'uomo occhio di alluminio.;3;1;2
Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.;I Tarantini, nati dai lacedemoni, avevano fondato la loro nobile città greca.;Tarentini, che sono nati da quelli di Lacedemonia et facta dalla loro nobile cittadella dei Greci.;3;4;3
Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.;Ulecois ebbe un uomo ricco e nobile: si chiamava Orgentore.;Ulecois, un uomo nobile, chiamato per nome.;2;2;2
però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia;Perché se è una cosa alta e nobile abbattere il nemico, è altrettanto lodevole saper mostrare misericordia.;ma che, nobili o alti, il nemico batte, allora la nonna è meno lodevole di conoscere la misericordia.;3;1;1
Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.;Alessandro, cioè suo genero e figlio, fu ucciso in un luogo stretto e privo di difese mentre stava con Pausonia, giovane nobile di Macedonia.;Alexandri, questo è il genero e il genero, di Fausonia, una giovane donna gentile di Macedonia, in piedi in un luogo angosciato senza una guardia, era morto.;2;2;4
Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.;C’è chi è ricco e nobile, ma si lamenta di voler un’altra moglie al posto di quella che ha.;Alchuno è ricco e gentile, ma si lamenta che vorrebbe avere un'altra moglie rispetto a quella che è.;4;3;5
Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia;A Pietro, mostrata in figura la gente pagana, fu detto: “Uccidi e mangia.”;Pietro, essendo mostrato nella sua figura il popolo Gentile, è stato detto a lui, uccidere, e mangiare.;4;3;4
pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.;Gli chiese di essere liberato da quell’obbligo che gli era stato imposto. Il nobile uomo acconsentì, lo liberò, e ne redasse un documento.;"Lo supplico di liberarlo da quel legame, nel quale lo aveva lasciato legato; il gentiluomo si astentò, lo liberò e lo fece carta.";4;2;3
L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia;L’oro verrà dal Settentrione. Cosa rappresenta il Settentrione se non il popolo pagano, congelato dal freddo del peccato, che fu tenuto sotto il giogo della sua tirannia?;L'oro uscirà dall'aquilone, che considereremo per l'aquilone, eccetto il popolo, Gentile, congelato dal freddo del peccato, che gli uomini custodivano sotto il giogo della sua tirannia.;3;3;3
sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.;Sia in mezzo tra me e te: con noi non puoi più rimanere a lungo, perché io non lo permetterò e non lo tollererò oltre.;"stai in mezzo a me e a te; con noi non puoi più dimorare, perché non l'ho rattristato e non lo lascerò.";2;2;2