Author;Date;Region;source_sentence;gold_sentence;predicted_sentence;prometheus_score;GPT_score
Brunetto Latini;1260-61;fior.;Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.;E se l’occhio è una parte nobile del corpo umano, allora il saluto è una parte nobile della lettera, che illumina l’intero testo come l’occhio illumina l’uomo.;Se l'occhio è un membro nobile del corpo umano, allora la guarigione è una parte nobile della medicina. Altrimenti, tutta la lettera si trasforma come l'occhio, rivelando la sua natura.;2;0
Bono Giamboni;1292;fior.;Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.;I Tarantini, nati dai lacedemoni, avevano fondato la loro nobile città greca.;Tarantini, i quali erano nati da coloro che provenivano da Lacedemia e furono realizzati da un nobile popolo greco.;2;0
Fatti de' Romani (H+R);1313;fior.;Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.;Ulecois ebbe un uomo ricco e nobile: si chiamava Orgentore.;Uleco, era un uomo ricco e nobile: Orgentore fu chiamato per nome.;4;0
Valerio Massimo (red. Va);1336;tosc.;però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia;Perché se è una cosa alta e nobile abbattere il nemico, è altrettanto lodevole saper mostrare misericordia.;Ma, che nobile cosa e alta è la minaccia, poi non è meno degno essere di avere una misurata prudenza.;1;0
Bono Giamboni;1292;fior.;Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.;Alessandro, cioè suo genero e figlio, fu ucciso in un luogo stretto e privo di difese mentre stava con Pausonia, giovane nobile di Macedonia.;Alexandri, figlio e nipote del suo padre, Phausonia, di origine iovana di Macedonia, che si trovava in una posizione stretta e inosservata, è morto.;5;0
Grazia di Meo;1343;tosc.;Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.;C’è chi è ricco e nobile, ma si lamenta di voler un’altra moglie al posto di quella che ha.;Alchuno è ricco e gentile, ma lamentandosi di desiderare una seconda moglie, quella che ha.;3;0
Zanobi da Strada;1361;tosc.;Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia;A Pietro, mostrata in figura la gente pagana, fu detto: “Uccidi e mangia.”;Pietro, quando gli fu mostrata la figura del Popolo Gentile, gli furono ordinati di uccidere e mangiare.;4;0
Declamazioni di Seneca;1392;tosc.;pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.;Gli chiese di essere liberato da quell’obbligo che gli era stato imposto. Il nobile uomo acconsentì, lo liberò, e ne redasse un documento.;L’esilio che mi aveva liberato da quella vincolo, in cui egli era rimasto incastrato. Il gentile uomo si rifiutò, e lo liberò, e lo trasformò in carta.;3;0
Giovanni da San Miniato;1415;tosc.;L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia;L’oro verrà dal Settentrione. Cosa rappresenta il Settentrione se non il popolo pagano, congelato dal freddo del peccato, che fu tenuto sotto il giogo della sua tirannia?;L'oro verrà dall'Aquilone. Cosa ci dice questa frase del nostro tempo? Ci troviamo in una situazione di dipendenza da un potere, un'autorità, che è stata erosa dal peccato, un popolo che si è arreso alla tirannia.;2;0
Prima catilinaria volg. (red. A);1294;fior.;sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.;Sia in mezzo tra me e te: con noi non puoi più rimanere a lungo, perché io non lo permetterò e non lo tollererò oltre.;In mezzo a me, non puoi più più vivere. Non lo sopporterò, non lo lascerò.;2;0